title,type,question,A,B,C,D,answer,image
F5 Chp 5,radio,Pahang2024_Q31,A,B,C,D,C,Pahang 2024/Picture31.png
F5 Chp 5,radio,SelangorSet12024_Q31,A,B,C,D,D,Selangor Set 1 2024/Picture31.png
F5 Chp 5,radio,SelangorSet22024_Q31,A,B,C,D,D,Selangor Set 2 2024/Picture31.png
F5 Chp 5,radio,Kelantan2024_Q32,A,B,C,D,D,Kelantan 2024/Picture32.png
F5 Chp 5,radio,KelantanYik2024_Q32,A,B,C,D,B,Kelantan YIK 2024/Picture32.png
F5 Chp 5,radio,NegeriSembilan2024_Q32,A,B,C,D,C,Negeri Sembilan 2024/Picture32.png
F5 Chp 5,radio,Pahang2024_Q32,A,B,C,D,A,Pahang 2024/Picture32.png
F5 Chp 5,radio,SelangorSet12024_Q32,A,B,C,D,A,Selangor Set 1 2024/Picture32.png
F5 Chp 5,radio,SelangorSet22024_Q32,A,B,C,D,D,Selangor Set 2 2024/Picture32.png
F5 Chp 5,radio,Kedah2024_Q33,A,B,C,D,A,Kedah 2024/Picture33.png
F5 Chp 5,radio,Kelantan2024_Q33,A,B,C,D,A,Kelantan 2024/Picture33.png
F5 Chp 5,radio,KelantanYik2024_Q33,A,B,C,D,C,Kelantan YIK 2024/Picture33.png
F5 Chp 5,radio,Melaka2024_Q33,A,B,C,D,B,Melaka 2024/Picture33.png
F5 Chp 5,radio,NegeriSembilan2024_Q33,A,B,C,D,B,Negeri Sembilan 2024/Picture33.png
F5 Chp 5,radio,Pahang2024_Q33,A,B,C,D,C,Pahang 2024/Picture33.png
F5 Chp 5,radio,PenangSet12024_Q33,A,B,C,D,C,Penang Set 1 2024/Picture33.png
F5 Chp 5,radio,PenangSet22024_Q33,A,B,C,D,C,Penang Set 2 2024/Picture33.png
F5 Chp 5,radio,Perak2024_Q33,A,B,C,D,C,Perak 2024/Picture33.png
F5 Chp 5,radio,SelangorSet12024_Q33,A,B,C,D,A,Selangor Set 1 2024/Picture33.png
F5 Chp 5,radio,SelangorSet22024_Q33,A,B,C,D,C,Selangor Set 2 2024/Picture33.png
F5 Chp 5,radio,Kedah2024_Q34,A,B,C,D,A,Kedah 2024/Picture34.png
F5 Chp 5,radio,Melaka2024_Q34,A,B,C,D,D,Melaka 2024/Picture34.png
F5 Chp 5,radio,NegeriSembilan2024_Q34,A,B,C,D,B,Negeri Sembilan 2024/Picture34.png
F5 Chp 5,radio,Pahang2024_Q34,A,B,C,D,B,Pahang 2024/Picture34.png
F5 Chp 5,radio,PenangSet12024_Q34,A,B,C,D,A,Penang Set 1 2024/Picture34.png
F5 Chp 5,radio,PenangSet22024_Q34,A,B,C,D,D,Penang Set 2 2024/Picture34.png
F5 Chp 5,radio,Perak2024_Q34,A,B,C,D,A,Perak 2024/Picture34.png
F5 Chp 5,radio,Smka2024_Q34,A,B,C,D,C,SMKA 2024/Picture34.png
F5 Chp 5,radio,Kedah2024_Q35,A,B,C,D,A,Kedah 2024/Picture35.png
F5 Chp 5,radio,Melaka2024_Q35,A,B,C,D,A,Melaka 2024/Picture35.png
F5 Chp 5,radio,Perak2024_Q35,A,B,C,D,B,Perak 2024/Picture35.png
F5 Chp 5,radio,Smka2024_Q35,A,B,C,D,A,SMKA 2024/Picture35.png
F5 Chp 5,radio,Smka2024_Q36,A,B,C,D,B,SMKA 2024/Picture36.png
