title,type,question,A,B,C,D,answer,image
F4 Chp 11,radio,Melaka_Q16,A,B,C,D,A,Melaka 2024/Picture16.png
F4 Chp 11,radio,Melaka_Q17,A,B,C,D,C,Melaka 2024/Picture17.png
F4 Chp 11,radio,Pahang_Q17,A,B,C,D,B,Pahang 2024/Picture17.png
F4 Chp 11,radio,Melaka_Q18,A,B,C,D,D,Melaka 2024/Picture18.png
F4 Chp 11,radio,Pahang_Q18,A,B,C,D,C,Pahang 2024/Picture18.png
F4 Chp 11,radio,NegeriSembilan_Q19,A,B,C,D,D,Negeri Sembilan 2024/Picture19.png
F4 Chp 11,radio,PenangSet_Q19,A,B,C,D,B,Penang Set 1 2024/Picture19.png
F4 Chp 11,radio,PenangSet_Q19,A,B,C,D,D,Penang Set 2 2024/Picture19.png
F4 Chp 11,radio,SelangorSet_Q19,A,B,C,D,D,Selangor Set 1 2024/Picture19.png
F4 Chp 11,radio,SelangorSet_Q19,A,B,C,D,B,Selangor Set 2 2024/Picture19.png
F4 Chp 11,radio,Kedah_Q20,A,B,C,D,B,Kedah 2024/Picture20.png
F4 Chp 11,radio,Kelantan_Q20,A,B,C,D,C,Kelantan 2024/Picture20.png
F4 Chp 11,radio,NegeriSembilan_Q20,A,B,C,D,A,Negeri Sembilan 2024/Picture20.png
F4 Chp 11,radio,PenangSet_Q20,A,B,C,D,A,Penang Set 1 2024/Picture20.png
F4 Chp 11,radio,PenangSet_Q20,A,B,C,D,B,Penang Set 2 2024/Picture20.png
F4 Chp 11,radio,Perak_Q20,A,B,C,D,B,Perak 2024/Picture20.png
F4 Chp 11,radio,Kedah_Q21,A,B,C,D,C,Kedah 2024/Picture21.png
F4 Chp 11,radio,Kelantan_Q21,A,B,C,D,B,Kelantan 2024/Picture21.png
F4 Chp 11,radio,KelantanYik_Q21,A,B,C,D,D,Kelantan YIK 2024/Picture21.png
F4 Chp 11,radio,Perak_Q21,A,B,C,D,B,Perak 2024/Picture21.png
F4 Chp 11,radio,KelantanYik_Q22,A,B,C,D,A,Kelantan YIK 2024/Picture22.png
F4 Chp 11,radio,Perak_Q22,A,B,C,D,D,Perak 2024/Picture22.png
F4 Chp 11,radio,Smka_Q22,A,B,C,D,A,SMKA 2024/Picture22.png
F4 Chp 11,radio,Smka_Q23,A,B,C,D,D,SMKA 2024/Picture23.png
