title,type,question,A,B,C,D,answer,image
F4 Chp 4,radio,Melaka2025_Q04,A,B,C,D,D,Melaka 2025/Picture4.png
F4 Chp 4,radio,Muar2025_Q04,A,B,C,D,C,Muar 2025/Picture4.png
F4 Chp 4,radio,PasirGudang2025_Q04,A,B,C,D,D,Pasir Gudang 2025/Picture4.png
F4 Chp 4,radio,Kedah2025_Q05,A,B,C,D,C,Kedah 2025/Picture5.png
F4 Chp 4,radio,Melaka2025_Q05,A,B,C,D,C,Melaka 2025/Picture5.png
F4 Chp 4,radio,Muar2025_Q05,A,B,C,D,C,Muar 2025/Picture5.png
F4 Chp 4,radio,PasirGudang2025_Q05,A,B,C,D,B,Pasir Gudang 2025/Picture5.png
F4 Chp 4,radio,Perak2025_Q05,A,B,C,D,B,Perak 2025/Picture5.png
F4 Chp 4,radio,Kedah2025_Q06,A,B,C,D,B,Kedah 2025/Picture6.png
F4 Chp 4,radio,Kelantan2025_Q06,A,B,C,D,A,Kelantan 2025/Picture6.png
F4 Chp 4,radio,KualaLumpur2025_Q06,A,B,C,D,B,Kuala Lumpur 2025/Picture6.png
F4 Chp 4,radio,NegeriSembilan2025_Q06,A,B,C,D,C,Negeri Sembilan 2025/Picture6.png
F4 Chp 4,radio,Pahang2025_Q06,A,B,C,D,D,Pahang 2025/Picture6.png
F4 Chp 4,radio,Perak2025_Q06,A,B,C,D,A,Perak 2025/Picture6.png
F4 Chp 4,radio,Selangor2025_Q06,A,B,C,D,B,Selangor 2025/Picture6.png
F4 Chp 4,radio,Kedah2025_Q07,A,B,C,D,D,Kedah 2025/Picture7.png
F4 Chp 4,radio,Kelantan2025_Q07,A,B,C,D,C,Kelantan 2025/Picture7.png
F4 Chp 4,radio,KualaLumpur2025_Q07,A,B,C,D,D,Kuala Lumpur 2025/Picture7.png
F4 Chp 4,radio,NegeriSembilan2025_Q07,A,B,C,D,B,Negeri Sembilan 2025/Picture7.png
F4 Chp 4,radio,Pahang2025_Q07,A,B,C,D,A,Pahang 2025/Picture7.png
F4 Chp 4,radio,Perlis2025_Q07,A,B,C,D,A,Perlis 2025/Picture7.png
F4 Chp 4,radio,Selangor2025_Q07,A,B,C,D,C,Selangor 2025/Picture7.png
F4 Chp 4,radio,KualaLumpur2025_Q08,A,B,C,D,D,Kuala Lumpur 2025/Picture8.png
F4 Chp 4,radio,Putrajaya2025_Q08,A,B,C,D,A,Putrajaya 2025/Picture8.png
F4 Chp 4,radio,Selangor2025_Q08,A,B,C,D,D,Selangor 2025/Picture8.png
F4 Chp 4,radio,Putrajaya2025_Q09,A,B,C,D,C,Putrajaya 2025/Picture9.png
F4 Chp 4,radio,Muar2025_Q26,A,B,C,D,A,Muar 2025/Picture26.png
F4 Chp 4,radio,Muar2025_Q27,A,B,C,D,B,Muar 2025/Picture27.png
