title,type,question,A,B,C,D,answer,image
F4 Chp 7,radio,Melaka2024_Q09,A,B,C,D,B,Melaka 2024/Picture9.png
F4 Chp 7,radio,Melaka2024_Q10,A,B,C,D,C,Melaka 2024/Picture10.png
F4 Chp 7,radio,NegeriSembilan2024_Q11,A,B,C,D,C,Negeri Sembilan 2024/Picture11.png
F4 Chp 7,radio,Kedah2024_Q12,A,B,C,D,B,Kedah 2024/Picture12.png
F4 Chp 7,radio,Pahang2024_Q12,A,B,C,D,D,Pahang 2024/Picture12.png
F4 Chp 7,radio,Perak2024_Q12,A,B,C,D,C,Perak 2024/Picture12.png
F4 Chp 7,radio,PenangSet12024_Q13,A,B,C,D,C,Penang Set 1 2024/Picture13.png
F4 Chp 7,radio,PenangSet22024_Q13,A,B,C,D,C,Penang Set 2 2024/Picture13.png
F4 Chp 7,radio,Perak2024_Q13,A,B,C,D,B,Perak 2024/Picture13.png
F4 Chp 7,radio,Kelantan2024_Q14,A,B,C,D,A,Kelantan 2024/Picture14.png
F4 Chp 7,radio,KelantanYik2024_Q14,A,B,C,D,D,Kelantan YIK 2024/Picture14.png
F4 Chp 7,radio,PenangSet12024_Q14,A,B,C,D,B,Penang Set 1 2024/Picture14.png
F4 Chp 7,radio,PenangSet22024_Q14,A,B,C,D,B,Penang Set 2 2024/Picture14.png
F4 Chp 7,radio,SelangorSet12024_Q14,A,B,C,D,B,Selangor Set 1 2024/Picture14.png
F4 Chp 7,radio,SelangorSet22024_Q14,A,B,C,D,A,Selangor Set 2 2024/Picture14.png
F4 Chp 7,radio,Smka2024_Q14,A,B,C,D,C,SMKA 2024/Picture14.png
F4 Chp 7,radio,Kelantan2024_Q15,A,B,C,D,D,Kelantan 2024/Picture15.png
F4 Chp 7,radio,KelantanYik2024_Q15,A,B,C,D,C,Kelantan YIK 2024/Picture15.png
F4 Chp 7,radio,Smka2024_Q15,A,B,C,D,D,SMKA 2024/Picture15.png
