title,type,question,A,B,C,D,answer,image
F4 Chp 2,radio,Kedah2024_Q02,A,B,C,D,A,Kedah 2024/Picture2.png
F4 Chp 2,radio,Melaka2024_Q02,A,B,C,D,C,Melaka 2024/Picture2.png
F4 Chp 2,radio,NegeriSembilan2024_Q02,A,B,C,D,B,Negeri Sembilan 2024/Picture2.png
F4 Chp 2,radio,Kelantan2024_Q03,A,B,C,D,A,Kelantan 2024/Picture3.png
F4 Chp 2,radio,KelantanYik2024_Q03,A,B,C,D,A,Kelantan YIK 2024/Picture3.png
F4 Chp 2,radio,Pahang2024_Q03,A,B,C,D,B,Pahang 2024/Picture3.png
F4 Chp 2,radio,PenangSet12024_Q03,A,B,C,D,C,Penang Set 1 2024/Picture3.png
F4 Chp 2,radio,PenangSet22024_Q03,A,B,C,D,C,Penang Set 2 2024/Picture3.png
F4 Chp 2,radio,Perak2024_Q03,A,B,C,D,D,Perak 2024/Picture3.png
F4 Chp 2,radio,SelangorSet12024_Q03,A,B,C,D,C,Selangor Set 1 2024/Picture3.png
F4 Chp 2,radio,SelangorSet22024_Q03,A,B,C,D,C,Selangor Set 2 2024/Picture3.png
F4 Chp 2,radio,Smka2024_Q03,A,B,C,D,D,SMKA 2024/Picture3.png
F4 Chp 2,radio,Kelantan2024_Q04,A,B,C,D,C,Kelantan 2024/Picture4.png
F4 Chp 2,radio,KelantanYik2024_Q04,A,B,C,D,A,Kelantan YIK 2024/Picture4.png
F4 Chp 2,radio,PenangSet12024_Q04,A,B,C,D,C,Penang Set 1 2024/Picture4.png
F4 Chp 2,radio,PenangSet22024_Q04,A,B,C,D,A,Penang Set 2 2024/Picture4.png
