title,type,question,A,B,C,D,answer,image
F5 Chp 8,radio,PenangSet_Q37,A,B,C,D,B,SC-SPM/Penang Set 1 2024/Picture37.png
F5 Chp 8,radio,PenangSet_Q37,A,B,C,D,B,SC-SPM/Penang Set 1 2024/Picture37.png
F5 Chp 8,radio,PenangSet_Q37,A,B,C,D,D,SC-SPM/Penang Set 2 2024/Picture37.png
F5 Chp 8,radio,PenangSet_Q37,A,B,C,D,D,SC-SPM/Penang Set 2 2024/Picture37.png
F5 Chp 8,radio,Kedah_Q38,A,B,C,D,D,SC-SPM/Kedah 2024/Picture38.png
F5 Chp 8,radio,Kedah_Q38,A,B,C,D,D,SC-SPM/Kedah 2024/Picture38.png
F5 Chp 8,radio,Kelantan_Q38,A,B,C,D,D,SC-SPM/Kelantan 2024/Picture38.png
F5 Chp 8,radio,Kelantan_Q38,A,B,C,D,D,SC-SPM/Kelantan 2024/Picture38.png
F5 Chp 8,radio,KelantanYik_Q38,A,B,C,D,D,SC-SPM/Kelantan YIK 2024/Picture38.png
F5 Chp 8,radio,KelantanYik_Q38,A,B,C,D,D,SC-SPM/Kelantan YIK 2024/Picture38.png
F5 Chp 8,radio,NegeriSembilan_Q38,A,B,C,D,D,SC-SPM/Negeri Sembilan 2024/Picture38.png
F5 Chp 8,radio,NegeriSembilan_Q38,A,B,C,D,D,SC-SPM/Negeri Sembilan 2024/Picture38.png
F5 Chp 8,radio,PenangSet_Q38,A,B,C,D,D,SC-SPM/Penang Set 1 2024/Picture38.png
F5 Chp 8,radio,PenangSet_Q38,A,B,C,D,D,SC-SPM/Penang Set 1 2024/Picture38.png
F5 Chp 8,radio,PenangSet_Q38,A,B,C,D,B,SC-SPM/Penang Set 2 2024/Picture38.png
F5 Chp 8,radio,PenangSet_Q38,A,B,C,D,B,SC-SPM/Penang Set 2 2024/Picture38.png
F5 Chp 8,radio,Kedah_Q39,A,B,C,D,A,SC-SPM/Kedah 2024/Picture39.png
F5 Chp 8,radio,Kedah_Q39,A,B,C,D,A,SC-SPM/Kedah 2024/Picture39.png
F5 Chp 8,radio,Kelantan_Q39,A,B,C,D,C,SC-SPM/Kelantan 2024/Picture39.png
F5 Chp 8,radio,Kelantan_Q39,A,B,C,D,C,SC-SPM/Kelantan 2024/Picture39.png
F5 Chp 8,radio,KelantanYik_Q39,A,B,C,D,B,SC-SPM/Kelantan YIK 2024/Picture39.png
F5 Chp 8,radio,KelantanYik_Q39,A,B,C,D,B,SC-SPM/Kelantan YIK 2024/Picture39.png
F5 Chp 8,radio,Melaka_Q39,A,B,C,D,A,SC-SPM/Melaka 2024/Picture39.png
F5 Chp 8,radio,Melaka_Q39,A,B,C,D,A,SC-SPM/Melaka 2024/Picture39.png
F5 Chp 8,radio,Pahang_Q39,A,B,C,D,A,SC-SPM/Pahang 2024/Picture39.png
F5 Chp 8,radio,Pahang_Q39,A,B,C,D,A,SC-SPM/Pahang 2024/Picture39.png
F5 Chp 8,radio,Perak_Q39,A,B,C,D,D,SC-SPM/Perak 2024/Picture39.png
F5 Chp 8,radio,Perak_Q39,A,B,C,D,D,SC-SPM/Perak 2024/Picture39.png
F5 Chp 8,radio,Smka_Q39,A,B,C,D,C,SC-SPM/SMKA 2024/Picture39.png
F5 Chp 8,radio,Smka_Q39,A,B,C,D,C,SC-SPM/SMKA 2024/Picture39.png
