title,type,question,A,B,C,D,answer,image
F4 Chp 8 2025,radio,Kedah_Q15,A,B,C,D,B,F4 Chp 8\Kedah_Q15.png
,radio,Kedah_Q16,A,B,C,D,C,F4 Chp 8\Kedah_Q16.png
,radio,Kelantan_Q13,A,B,C,D,D,F4 Chp 8\Kelantan_Q13.png
,radio,Kelantan_Q14,A,B,C,D,B,F4 Chp 8\Kelantan_Q14.png
,radio,Melaka_Q13,A,B,C,D,D,F4 Chp 8\Melaka_Q13.png
,radio,Melaka_Q14,A,B,C,D,A,F4 Chp 8\Melaka_Q14.png
,radio,Muar_Q11,A,B,C,D,A,F4 Chp 8\Muar_Q11.png
,radio,Muar_Q12,A,B,C,D,B,F4 Chp 8\Muar_Q12.png
,radio,Pahang_Q13,A,B,C,D,C,F4 Chp 8\Pahang_Q13.png
,radio,Pahang_Q14,A,B,C,D,A,F4 Chp 8\Pahang_Q14.png
,radio,PasirGudang_Q11,A,B,C,D,B,F4 Chp 8\PasirGudang_Q11.png
,radio,PasirGudang_Q12,A,B,C,D,A,F4 Chp 8\PasirGudang_Q12.png
,radio,Perak_Q13,A,B,C,D,C,F4 Chp 8\Perak_Q13.png
,radio,Perak_Q14,A,B,C,D,B,F4 Chp 8\Perak_Q14.png
,checkbox,Perlis_Q16,A,B,C,D,"A,D",F4 Chp 8\Perlis_Q16.png
,radio,Perlis_Q17,A,B,C,D,A,F4 Chp 8\Perlis_Q17.png
,radio,Perlis_Q18,A,B,C,D,A,F4 Chp 8\Perlis_Q18.png
,radio,Selangor_Q15,A,B,C,D,C,F4 Chp 8\Selangor_Q15.png
