title,type,question,A,B,C,D,answer,image
F4 Chp 10 2025,radio,Kedah_Q19,A,B,C,D,C,F4 Chp 10\Kedah_Q19.png
,radio,Kedah_Q20,A,B,C,D,C,F4 Chp 10\Kedah_Q20.png
,radio,Kelantan_Q17,A,B,C,D,B,F4 Chp 10\Kelantan_Q17.png
,radio,Kelantan_Q18,A,B,C,D,D,F4 Chp 10\Kelantan_Q18.png
,radio,Melaka_Q17,A,B,C,D,A,F4 Chp 10\Melaka_Q17.png
,radio,Melaka_Q18,A,B,C,D,C,F4 Chp 10\Melaka_Q18.png
,radio,Muar_Q15,A,B,C,D,B,F4 Chp 10\Muar_Q15.png
,radio,Muar_Q16,A,B,C,D,A,F4 Chp 10\Muar_Q16.png
,radio,Muar_Q17,A,B,C,D,D,F4 Chp 10\Muar_Q17.png
,radio,Pahang_Q17,A,B,C,D,D,F4 Chp 10\Pahang_Q17.png
,radio,PasirGudang_Q15,A,B,C,D,A,F4 Chp 10\PasirGudang_Q15.png
,radio,PasirGudang_Q16,A,B,C,D,C,F4 Chp 10\PasirGudang_Q16.png
,radio,PasirGudang_Q17,A,B,C,D,A,F4 Chp 10\PasirGudang_Q17.png
,radio,Perak_Q18,A,B,C,D,D,F4 Chp 10\Perak_Q18.png
,radio,Perlis_Q22,A,B,C,D,B,F4 Chp 10\Perlis_Q22.png
,radio,Selangor_Q17,A,B,C,D,A,F4 Chp 10\Selangor_Q17.png
,radio,Selangor_Q18,A,B,C,D,C,F4 Chp 10\Selangor_Q18.png
