title,type,question,A,B,C,D,answer,image
F5 Chp 1 2025,radio,Kedah_Q25.png,A,B,C,D,D,F5 Chp 1\Kedah_Q25.png
,radio,Kedah_Q26.png,A,B,C,D,C,F5 Chp 1\Kedah_Q26.png
,radio,Kelantan_Q23.png,A,B,C,D,A,F5 Chp 1\Kelantan_Q23.png
,radio,Kelantan_Q24.png,A,B,C,D,B,F5 Chp 1\Kelantan_Q24.png
,radio,Melaka_Q22.png,A,B,C,D,D,F5 Chp 1\Melaka_Q22.png
,radio,Melaka_Q23.png,A,B,C,D,B,F5 Chp 1\Melaka_Q23.png
,radio,Muar_Q21.png,A,B,C,D,B,F5 Chp 1\Muar_Q21.png
,radio,Muar_Q22.png,A,B,C,D,B,F5 Chp 1\Muar_Q22.png
,radio,Muar_Q23.png,A,B,C,D,D,F5 Chp 1\Muar_Q23.png
,radio,Pahang_Q21.png,A,B,C,D,A,F5 Chp 1\Pahang_Q21.png
,radio,Pahang_Q22.png,A,B,C,D,C,F5 Chp 1\Pahang_Q22.png
,radio,Pahang_Q23.png,A,B,C,D,D,F5 Chp 1\Pahang_Q23.png
,radio,PasirGudang_Q21.png,A,B,C,D,B,F5 Chp 1\PasirGudang_Q21.png
,radio,PasirGudang_Q22.png,A,B,C,D,B,F5 Chp 1\PasirGudang_Q22.png
,radio,PasirGudang_Q23.png,A,B,C,D,C,F5 Chp 1\PasirGudang_Q23.png
,radio,Perak_Q23.png,A,B,C,D,B,F5 Chp 1\Perak_Q23.png
,radio,Perak_Q24.png,A,B,C,D,B,F5 Chp 1\Perak_Q24.png
,radio,Perlis_Q26.png,A,B,C,D,C,F5 Chp 1\Perlis_Q26.png
,checkbox,Perlis_Q27.png,A,B,C,D,"C,D",F5 Chp 1\Perlis_Q27.png
,radio,Selangor_Q21.png,A,B,C,D,C,F5 Chp 1\Selangor_Q21.png
,radio,Selangor_Q22.png,A,B,C,D,B,F5 Chp 1\Selangor_Q22.png
